States,Latitude,Longitude
Anhui,33.25,115.35
Beijing,39.54,115.79
Chongqing,31.05,109.52
Fujian,26.23,117.58
Gansu,39.83,97.73
Guangdong,23.08,114.4
Guangxi,21.95,108.62
Guizhou,27.68,109.13
Hainan,18.26,109.5
Hebei,37.72,115.7
Heilongjiang,46.4,125.32
Henan,33.57,114.03
Hubei,32.57,110.78
Hunan,25.97,113.4
Jiangsu,34.38,118.35
Jiangxi,27.97,116.36
Jilin,45.5,124.3
Liaoning,41.81,120.76
Inner Mongolia,50.78,121.52
Ningxia ,39.23,106.77
Shaanxi,34.8,109.94
Shandong,35.99,119.38
Shanghai,31.22,121.44
Sichuan,31.13,104.4
Tianjin,39.23,117.78
Xinjiang ,42.94,89.17
Xizang,28.95,89.63
Yunnan,25.03,98.47
Zhejiang,28.85,121.12
Tibet,30.15,88.78
